"state","county","community","communityname","population","householdsize","racepctblack","racePctWhite","racePctAsian","racePctHisp","agePct12t21","agePct12t29","agePct16t24","agePct65up","numbUrban","pctUrban","medIncome","pctWWage","pctWFarmSelf","pctWInvInc","pctWSocSec","pctWPubAsst","pctWRetire","medFamInc","perCapInc","whitePerCap","blackPerCap","indianPerCap","AsianPerCap","OtherPerCap","HispPerCap","NumUnderPov","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ","PctOccupManu","PctOccupMgmtProf","MalePctDivorce","MalePctNevMarr","FemalePctDiv","TotalPctDiv","PersPerFam","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctWorkMomYoungKids","PctWorkMom","NumIlleg","PctIlleg","NumImmig","PctImmigRecent","PctImmigRec5","PctImmigRec8","PctImmigRec10","PctRecentImmig","PctRecImmig5","PctRecImmig8","PctRecImmig10","PctSpeakEnglOnly","PctNotSpeakEnglWell","PctLargHouseFam","PctLargHouseOccup","PersPerOccupHous","PersPerOwnOccHous","PersPerRentOccHous","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","HousVacant","PctHousOccup","PctHousOwnOcc","PctVacantBoarded","PctVacMore6Mos","MedYrHousBuilt","PctHousNoPhone","PctWOFullPlumb","OwnOccLowQuart","OwnOccMedVal","OwnOccHiQuart","RentLowQ","RentMedian","RentHighQ","MedRent","MedRentPctHousInc","MedOwnCostPctInc","MedOwnCostPctIncNoMtg","NumInShelters","NumStreet","PctForeignBorn","PctBornSameState","PctSameHouse85","PctSameCity85","PctSameState85","LemasSwornFT","LemasSwFTPerPop","LemasSwFTFieldOps","LemasSwFTFieldPerPop","LemasTotalReq","LemasTotReqPerPop","PolicReqPerOffic","PolicPerPop","RacialMatchCommPol","PctPolicWhite","PctPolicBlack","PctPolicHisp","PctPolicAsian","PctPolicMinor","OfficAssgnDrugUnits","NumKindsDrugsSeiz","PolicAveOTWorked","LandArea","PopDens","PctUsePubTrans","PolicCars","PolicOperBudg","LemasPctPolicOnPatr","LemasGangUnitDeploy","LemasPctOfficDrugUn","PolicBudgPerPop","ViolentCrimesPerPop"
54,"?","?","Clarksburgcity",0.01,0.24,0.07,0.94,0.02,0.02,0.33,0.34,0.21,0.85,0,0,0.1,0.16,0.09,0.41,0.88,0.45,0.89,0.15,0.18,0.18,0.16,0.07,0.03,"0.08",0.54,0.03,0.45,0.37,0.5,0.21,0.76,0.13,0.17,0.55,0.46,0.35,0.57,0.31,0.52,0.57,0.33,0.51,0.55,0.59,0.64,0.62,0.54,0.01,0.17,0,0.07,0.05,0.04,0.03,0,0,0,0,0.92,0.03,0.12,0.11,0.25,0.28,0.24,0.57,0.04,0.57,0,0.07,0.4,0.55,0.19,0.86,0,0.46,0.67,0.05,0.05,0.05,0.09,0.11,0.1,0.12,0.67,0.39,0.36,0.01,0,0.03,0.9,0.72,0.86,0.83,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",0.02,0.19,0.12,"?","?","?","?",0,"?",0.03
42,"43","75672","Swataratownship",0.02,0.4,0.18,0.83,0.07,0.04,0.3,0.41,0.24,0.57,0.03,1,0.37,0.57,0.26,0.62,0.52,0.13,0.77,0.38,0.32,0.32,0.32,0.11,0.29,"0.32",0.45,0.01,0.16,0.34,0.4,0.23,0.19,0.53,0.24,0.36,0.35,0.38,0.5,0.38,0.4,0.46,0.37,0.7,0.72,0.89,0.71,0.66,0.71,0,0.09,0,0.08,0.06,0.12,0.16,0.02,0.01,0.02,0.03,0.88,0.03,0.09,0.1,0.37,0.43,0.22,0.71,0.04,0.36,0.5,0.01,0.89,0.66,0.08,0.11,0.48,0.05,0.16,0.16,0.15,0.13,0.25,0.3,0.33,0.28,0.35,0.28,0.31,0,0,0.1,0.87,0.72,0.82,0.87,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",0.04,0.12,0.14,"?","?","?","?",0,"?",0.22
40,"?","?","ElkCitycity",0,0.41,0.07,0.87,0.02,0.08,0.43,0.43,0.24,0.5,0,0,0.14,0.36,1,0.34,0.59,0.6,0.26,0.13,0.18,0.19,0.13,0.03,0.99,"0.16",0.16,0.02,0.48,0.45,0.58,0.19,0.54,0.34,0.11,0.43,0.45,0.34,0.55,0.19,0.55,0.57,0.48,0.63,0.62,0.56,0.6,0.47,0.57,0.01,0.23,0,0,0.12,0.4,0.64,0,0.01,0.02,0.03,0.92,0.03,0.19,0.18,0.44,0.38,0.54,0.54,0.16,0.52,0.5,0.05,0.22,0.58,0.52,0.74,0.67,0.75,0.48,0,0.03,0.05,0.07,0.09,0.08,0.14,0.26,0.38,0.44,0,0,0.02,0.63,0.42,0.52,0.64,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",0.03,0.08,0,"?","?","?","?",0,"?",0.1
55,"71","81325","TwoRiverscity",0,0.37,0,0.97,0.08,0.01,0.38,0.4,0.25,0.54,0,0,0.23,0.43,0.15,0.67,0.59,0.34,0.44,0.26,0.24,0.24,0.44,0.15,0.1,"0.2",0.11,0.01,0.23,0.36,0.41,0.16,0.25,0.51,1,0.23,0.91,0.21,0.33,0.32,0.27,0.3,0.44,0.71,0.76,0.62,0.68,0.52,0.6,0,0.1,0,0.78,0.6,0.55,0.58,0.07,0.04,0.04,0.04,0.94,0.04,0.18,0.17,0.41,0.43,0.32,0.69,0.07,0.37,0.5,0.01,0.83,0.67,0.09,0.62,0.23,0.15,0.21,0.07,0.05,0.05,0.11,0.12,0.12,0.12,0.26,0.09,0.35,0,0,0.03,0.95,0.78,0.9,0.9,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",0.01,0.2,0.08,"?","?","?","?",0,"?",0.02
34,"27","64080","Rockawaytownship",0.02,0.53,0.03,0.91,0.22,0.06,0.34,0.43,0.26,0.25,0.02,0.8,0.74,0.82,0.35,0.74,0.27,0.06,0.42,0.69,0.57,0.56,0.72,0.09,0.35,"0.27",0.5,0,0.04,0.09,0.16,0.58,0.15,0.76,0.4,0.36,0.2,0.6,0.26,0.35,0.27,0.27,0.53,0.89,0.9,0.94,0.84,0.38,0.49,0,0.03,0.01,0.22,0.23,0.27,0.32,0.15,0.13,0.14,0.15,0.8,0.07,0.16,0.18,0.59,0.62,0.32,0.85,0.03,0.26,0.5,0.03,0.7,0.81,0.11,0.52,0.48,0.02,0.11,0.5,0.47,0.44,0.8,0.83,0.94,0.85,0.53,0.67,0.44,0.01,0,0.27,0.59,0.7,0.68,0.75,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",0.12,0.04,0.13,"?","?","?","?",0,"?",0.07
36,"29","11000","Buffalocity",0.51,0.31,0.6,0.46,0.06,0.09,0.42,0.54,0.39,0.48,0.52,1,0.11,0.28,0.15,0.34,0.57,0.92,0.53,0.15,0.18,0.22,0.2,0.13,0.23,"0.15",0.19,0.74,0.68,0.43,0.57,0.24,0.8,0.27,0.36,0.63,0.49,0.34,0.6,0.74,0.59,0.62,0.45,0.12,0.21,0.19,0.13,0.31,0.29,0.62,0.85,0.1,0.33,0.32,0.34,0.34,0.11,0.09,0.09,0.08,0.8,0.12,0.27,0.2,0.31,0.41,0.29,0.31,0.1,0.49,0.5,0.83,0.58,0.29,0.87,0.66,0,0.54,0.3,0.06,0.06,0.08,0.14,0.16,0.18,0.2,0.81,0.24,0.57,0.17,0.01,0.13,0.8,0.61,0.87,0.84,"0.22","0.33","0.76","0.41","0.28","0.34","0.35","0.33","0.76","0.59","0.49","0.16","0","0.43","0.12","0.79","0.07",0.12,0.68,0.75,"0.25","0.32","0.86","0.5",0.33,"0.44",0.8
55,"87","2375","Appletoncity",0.07,0.42,0,0.95,0.16,0.01,0.4,0.49,0.3,0.39,0.09,1,0.34,0.58,0.15,0.7,0.47,0.25,0.45,0.36,0.33,0.33,0.21,0.18,0.16,"0.14",0.23,0.03,0.18,0.25,0.25,0.38,0.2,0.6,0.59,0.45,0.46,0.46,0.36,0.39,0.36,0.37,0.47,0.75,0.81,0.8,0.64,0.59,0.65,0.01,0.08,0.01,0.47,0.35,0.33,0.56,0.1,0.07,0.06,0.09,0.92,0.07,0.19,0.17,0.42,0.5,0.28,0.65,0.07,0.43,0.5,0.03,0.92,0.6,0.06,0.49,0.38,0.09,0.11,0.12,0.11,0.11,0.27,0.26,0.26,0.24,0.3,0.33,0.47,0.01,0,0.09,0.81,0.58,0.62,0.76,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",0.04,0.32,0.11,"?","?","?","?",0,"?",0.03
34,"3","72360","Teanecktownship",0.04,0.57,0.51,0.49,0.34,0.11,0.4,0.4,0.3,0.47,0.06,1,0.74,0.68,0.06,0.67,0.5,0.13,0.41,0.74,0.64,0.72,0.48,0.27,0.39,"0.37",0.55,0.01,0.08,0.15,0.2,0.67,0.26,0.62,0.29,0.74,0.2,0.71,0.24,0.43,0.32,0.3,0.58,0.81,0.79,0.89,0.76,0.5,0.64,0.01,0.12,0.04,0.29,0.33,0.39,0.41,0.36,0.35,0.38,0.36,0.68,0.13,0.37,0.37,0.58,0.64,0.26,0.83,0.1,0.29,0.5,0.02,0.93,0.77,0.07,0.55,0.1,0.03,0.24,0.58,0.55,0.54,0.56,0.54,0.64,0.54,0.55,0.58,0.88,0,0,0.51,0.27,0.81,0.72,0.59,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",0.02,0.52,0.88,"?","?","?","?",0,"?",0.11
48,"?","?","Kerrvillecity",0.01,0.33,0.08,0.78,0.03,0.41,0.32,0.31,0.22,0.99,0,0,0.17,0.09,0.45,0.52,0.89,0.31,0.78,0.2,0.28,0.3,0.18,0.11,0.13,"0.16",0.22,0.02,0.39,0.43,0.46,0.32,0.41,0.14,0.18,0.81,0.26,0.39,0.55,0.25,0.56,0.58,0.3,0.51,0.5,0.6,0.33,0.71,0.72,0.01,0.23,0,0.2,0.18,0.25,0.34,0.06,0.05,0.06,0.08,0.68,0.11,0.2,0.17,0.26,0.21,0.37,0.47,0.23,0.65,0,0.06,0.4,0.51,0.08,0.58,0.65,0.57,0.4,0.09,0.11,0.14,0.2,0.22,0.25,0.24,0.59,0.43,0.47,0,0,0.12,0.69,0.48,0.53,0.81,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",0.04,0.09,0.01,"?","?","?","?",0,"?",0.1
6,"?","?","ThousandOakscity",0.15,0.55,0.02,0.86,0.29,0.18,0.45,0.46,0.32,0.27,0.17,1,0.74,0.72,0.27,0.65,0.28,0.15,0.39,0.72,0.64,0.63,0.79,0.34,0.5,"0.4",0.48,0.04,0.1,0.11,0.15,0.57,0.2,0.69,0.39,0.39,0.15,0.65,0.4,0.42,0.49,0.46,0.52,0.79,0.8,0.86,0.76,0.41,0.45,0.02,0.12,0.09,0.36,0.42,0.46,0.49,0.35,0.35,0.35,0.34,0.75,0.19,0.26,0.27,0.58,0.57,0.55,0.7,0.17,0.3,0.5,0.07,0.89,0.7,0,0.23,0.73,0.04,0.07,0.79,0.81,0.83,0.88,0.87,1,0.87,0.68,0.81,0.31,0,0,0.4,0.4,0.44,0.44,0.63,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",0.14,0.18,0.02,"?","?","?","?",0,"?",0.13
49,"?","?","Springvillecity",0.01,0.79,0,0.98,0.03,0.03,0.59,0.59,0.36,0.32,0.02,1,0.23,0.58,0.63,0.43,0.43,0.35,0.56,0.21,0.15,0.14,0.01,0.09,0.02,"0.37",0.27,0.02,0.34,0.08,0.23,0.3,0.25,0.47,0.52,0.51,0.48,0.35,0.26,0.25,0.23,0.24,0.92,0.84,0.88,0.83,0.78,0.28,0.29,0,0.05,0,0.23,0.24,0.23,0.24,0.02,0.02,0.02,0.02,0.95,0.02,1,1,0.86,0.89,0.73,0.64,0.28,0.38,0.5,0.01,0.87,0.63,0.09,0.51,0.48,0.18,0,0.12,0.11,0.11,0.18,0.18,0.18,0.19,0.34,0.41,0.17,0,0,0.04,0.79,0.58,0.71,0.66,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",0.03,0.12,0.03,"?","?","?","?",0,"?",0.1
6,"?","?","SanMarinocity",0,0.62,0,0.48,1,0.09,0.5,0.35,0.27,0.51,0.02,1,1,0.5,0.4,0.92,0.49,0.03,0.42,1,1,1,1,0,0.68,"0.84",1,0,0.09,0.05,0.05,1,0.12,0.38,0.19,0.76,0.03,1,0.01,0.34,0.16,0.1,0.56,0.93,0.89,0.94,0.71,0.41,0.22,0,0.05,0.02,0.37,0.43,0.59,0.62,0.75,0.76,0.94,0.91,0.4,0.33,0.32,0.36,0.67,0.62,0.84,0.95,0.2,0.1,0.5,0.01,0.88,0.97,0,0.57,0.04,0.01,0,1,1,1,1,1,1,1,0,0.5,0.22,0,0,0.85,0.37,0.76,0.79,0.68,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",0.01,0.29,0.06,"?","?","?","?",0,"?",0.08
55,"59","39225","Kenoshacity",0.11,0.46,0.12,0.85,0.03,0.11,0.43,0.51,0.33,0.43,0.13,1,0.27,0.51,0.09,0.53,0.55,0.48,0.65,0.28,0.24,0.25,0.16,0.22,0.35,"0.16",0.21,0.09,0.33,0.31,0.46,0.18,0.5,0.46,0.65,0.39,0.55,0.27,0.54,0.46,0.54,0.56,0.51,0.5,0.53,0.56,0.57,0.55,0.57,0.06,0.33,0.03,0.22,0.25,0.26,0.27,0.08,0.08,0.07,0.07,0.83,0.1,0.27,0.25,0.46,0.52,0.38,0.57,0.14,0.55,0.5,0.07,0.86,0.54,0.21,0.34,0.31,0.26,0.17,0.11,0.1,0.09,0.25,0.26,0.28,0.26,0.44,0.34,0.4,0.04,0,0.14,0.67,0.57,0.74,0.63,"0.02","0.17","0.97","0.22","0.04","0.17","0.32","0.17","0.85","0.82","0.03","0.06","0.11","0.07","0.03","0.36","0.14",0.06,0.31,0.11,"0.06","0.02","0.88","0.5",0.51,"0.14",0.22
42,"73","53368","NewCastlecity",0.03,0.35,0.16,0.88,0.01,0.01,0.32,0.35,0.23,0.76,0,0,0.09,0.11,0.13,0.41,0.84,0.78,0.7,0.14,0.14,0.14,0.14,0.11,0.26,"0.04",0.07,0.05,0.52,0.41,0.56,0.12,0.7,0.11,0.47,0.43,0.62,0.27,0.52,0.39,0.51,0.54,0.42,0.43,0.45,0.48,0.57,0.16,0.16,0.02,0.25,0,0.08,0.06,0.08,0.09,0.01,0.01,0.01,0.01,0.89,0.04,0.22,0.19,0.36,0.41,0.29,0.59,0.06,0.47,0.5,0.06,0.64,0.56,0.69,0.66,0,0.17,0.19,0.02,0.01,0.01,0.06,0.1,0.1,0.1,0.64,0.31,0.61,0.03,0,0.05,0.92,0.8,0.9,0.86,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",0.02,0.28,0.13,"?","?","?","?",0,"?",0.21
36,"75","55574","Oswegocity",0.01,0.41,0.01,0.97,0.03,0.03,0.53,0.62,0.55,0.52,0,0,0.2,0.4,0.07,0.46,0.63,0.36,0.65,0.28,0.23,0.22,0.21,0.49,0.06,"0.13",0.34,0.03,0.5,0.3,0.46,0.31,0.54,0.28,0.24,0.64,0.33,0.42,0.35,0.64,0.34,0.36,0.46,0.56,0.6,0.65,0.63,0.2,0.21,0.01,0.2,0,0.84,0.65,0.53,0.47,0.14,0.1,0.07,0.06,0.93,0.04,0.21,0.19,0.37,0.43,0.32,0.49,0.06,0.47,0.5,0.02,0.78,0.46,0.29,0.57,0,0.19,0.14,0.1,0.1,0.09,0.23,0.24,0.27,0.24,0.63,0.13,0.58,0,0.03,0.07,0.91,0.53,0.68,0.81,"?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",0.02,0.21,0.13,"?","?","?","?",0,"?",0
