Panelist,Session,Rank,Product,Spicy,Heady,Fruity,Green,Vanilla,Floral,Woody,Citrus,Marine,Greedy,Oriental,Wrapping
ST,1,8,L'instant,0,0,7.8,0,0,8,0,0,0,0,0,0

ST,1,9,J'adore ET,0,0,9.6,0.7,0.2,9.6,0,0,0,0,0,0

ST,1,10,Shalimar,10,9.2,3.9,0,6.9,0,7.2,0,0,0,10,10

ST,1,11,J'adore EP,0,0,8.8,1,0,9,0,0,0,0,0,0

ST,1,12,Cinéma,0,0,9.5,0,2.2,5,2.5,0,0,5,0,0

ST,2,1,Cinéma,0,0,8.5,0,3.7,0,0,0,0,1.3,0,0

ST,2,2,J'adore EP,0,0,9.2,0,0,9.3,0,0,0,0,0,0

ST,2,3,Shalimar,9,10,0,0,7.7,0,1.8,0,0,0,9.3,9.5

ST,2,4,J'adore ET,0,0,9.1,0,9.5,9.2,0,0,0,0,0,0

ST,2,5,L'instant,0,0,8.5,0,4.2,9,0,0,0,0,0,0

ST,2,6,Chanel N5,3.5,9,5,0,0,9.3,0,0,0,0,6.7,7.5

ST,2,7,Pleasures,0,0,3.8,8.7,0,8.8,0,1,0,0,0,0

ST,2,8,Angel,1.5,5.7,0,0,9.6,0,0,0,0,10,0.8,10

ST,2,9,Aromatics Elixir,9.2,5.6,2.2,0,2.7,0,1.4,0,0,0,8.2,7

ST,2,10,Coco Mademoiselle,0,0,9,0.7,1.4,9,0,0,0,0,2.5,1.2

ST,2,11,Pure Poison,0.2,0.2,8.5,0,1.5,3.2,1.4,0,0,1.7,1.7,0

ST,2,12,Lolita Lempicka,0,7,0,0,10,0,0,0,0,10,0,8.3

SM,1,1,Pure Poison,0,1.5,8,1.1,0,8.7,0,2,1,0,0,2.9

SM,1,2,Aromatics Elixir,7.5,9,0.2,0.1,6,1.7,2.8,0,0,1.2,9.5,9

SM,1,3,Lolita Lempicka,0.3,7.5,1.8,0,9.5,2.5,0,0,0,9.8,8,9.8

SM,1,4,Pleasures,0.2,0.8,1.2,7.8,0.1,6.8,0,0.3,0,0,0,2.9

SM,1,5,Coco Mademoiselle,0,0.5,0.5,2.2,0.1,9.3,0,3.9,0,0,0,2.8

SM,1,6,L'instant,0,5.8,0,0,7.5,5.2,0,0,0,4.3,7.9,7

SM,1,7,Angel,0.5,9.5,1.8,0,8.5,2.1,1,0,0,9.8,9.7,9.7

SM,1,8,Shalimar,0,4.5,1.3,0,6.5,6,0,0,0,0.7,4.6,2.7

SM,1,9,Chanel N5,0,5.5,1.2,0,2.7,6.4,0.2,0.9,0,0.6,0.6,8.7

SM,1,10,Cinéma,0.2,4.1,6,0,3.7,5.5,0,0,0,5.7,2.2,5.7

SM,1,11,J'adore ET,0.2,2,2.2,4.1,0.3,5.5,0,0.5,0,0,0,6

SM,1,12,J'adore EP,0,1.2,1.3,0,0,6,0,2.4,5.5,0,0,3.8

SM,2,1,J'adore EP,0.2,0.1,7.2,4,0.2,9.4,0.1,0.2,0.2,0.2,0.2,7.3

SM,2,2,J'adore ET,0.2,1.1,7.3,4.4,0.2,9.4,0.2,0.4,0.1,0,0.1,2.1

SM,2,3,Cinéma,0.2,6.1,0.8,0.1,8.2,3.1,0.1,0.1,0.1,7.7,3.5,7.8

SM,2,4,Chanel N5,0.2,6.7,0.1,0.2,0.8,8.7,0,3.1,0.1,0.7,0.1,8.9

SM,2,5,Shalimar,3.6,3.7,0.9,0,6.2,6,1,0.1,0,4.2,6.5,6.6

SM,2,6,Angel,1,9.6,2.3,0.1,7.7,2.5,1.4,0.1,0.1,9.6,9.6,9.6

SM,2,7,L'instant,0.1,6,1.3,0,7.5,5.4,0.1,0.1,0.2,5.1,4.1,6.3

SM,2,8,Coco Mademoiselle,0.1,1.9,4,0,1.2,7.6,0.2,3.6,0.1,0.5,0.1,5.4

SM,2,9,Pleasures,0.1,1,3.9,5.3,1.1,7.7,0.1,0,0.1,0.2,0.1,1.1

SM,2,10,Lolita Lempicka,0.9,7.9,2.1,0,8.2,5.1,1.1,0,0,8.7,8.7,8.7

SM,2,11,Aromatics Elixir,4.8,8.8,0.8,0.1,4.5,5.7,0.1,0,0.1,3,9.3,8.5

SM,2,12,Pure Poison,0.1,0.8,2.6,1.7,0.3,7.6,0.1,1.3,0.1,0.2,0,1.6

CR,1,1,Aromatics Elixir,0,0.6,0.2,0,0,1.4,0.6,0.3,0,0,6.8,8.7

CR,1,2,Pleasures,0.3,0.7,7.3,0.5,0,7,5,5.5,0.8,0,0.1,1.2

CR,1,3,Pure Poison,0.7,6.4,3.7,0,0,6.9,5.7,0.2,0.1,0.2,2.5,5

CR,1,4,L'instant,0,0.7,8,0,9.3,7.8,1,0.1,0.1,1.9,0.5,1.8

CR,1,5,Lolita Lempicka,0.2,0,9.2,0.1,9.4,3.5,0.1,1,0.2,9.3,0.1,0.7

CR,1,6,Shalimar,0.2,8.8,0.5,0.1,0.4,7.8,5.6,0,0,0.1,8,8.8

CR,1,7,Coco Mademoiselle,0,0.1,1,0.1,1.2,10,0.2,0.1,0.1,0.2,9.4,0.9

CR,1,8,Cinéma,0.4,1.1,2.7,0.6,3.6,6.2,0.1,0,1,2.2,0.1,1.2

CR,1,9,Angel,1,2.3,6.2,0,8.3,3.5,0,0,0.5,7,0.1,5

CR,1,10,J'adore EP,0,0.7,9.3,0,0.2,9.5,0.5,0,0,3,0,2.1

CR,1,11,Chanel N5,0.2,10,0,0,0.3,6.1,1.3,0,0,0.2,8.8,7.8

CR,1,12,J'adore ET,0,0.7,8.8,0,0.6,8.7,0.2,0.9,0,5,0.2,1.9

CR,2,1,J'adore ET,0.2,0.2,6.8,0,0.4,8.1,0.1,0.5,0.5,1,0.1,0.9

CR,2,2,Chanel N5,0.6,1.7,0,0.2,0.6,8.8,1.1,0.3,0.1,0,8.3,8.1

CR,2,3,J'adore EP,0.4,1.5,8.4,0.1,1,9,1.2,0.4,0.1,0,8.4,7.1

CR,2,4,Angel,0.7,1.1,7,0.1,5.8,4.7,0.3,1.8,0.1,7.2,0.2,3

CR,2,5,Cinéma,0.1,1.5,4.2,0.2,4.4,8.2,1,1.8,0,6.4,0.2,2.3

CR,2,6,Coco Mademoiselle,0,1.1,2.8,0.1,1,9.1,0.8,0.2,0.1,2.3,9.3,5.5

CR,2,7,Shalimar,2.3,7.1,0.3,0.1,1.4,8.8,4.3,0,0.1,0,10,7.1

CR,2,8,Lolita Lempicka,0.5,1.4,6.5,0,9,7.7,0.2,1,0,8.8,0.4,7

CR,2,9,L'instant,0.6,1.4,6.9,0,6.5,8.5,0.8,1.5,4.1,2.1,0.3,1.2

CR,2,10,Pure Poison,5,6.5,0.7,0.1,0.7,7.6,3.8,0.2,0.3,0.1,8.4,7.7

CR,2,11,Pleasures,0.2,0.9,8.3,0.1,0.6,8.8,0.2,0.8,0.8,2.9,0.2,3.5

CR,2,12,Aromatics Elixir,2.1,7.2,0.3,0,1.3,8.1,0.5,1,0.1,0.3,9,7.2

CM,1,1,Pleasures,0.7,0,0.3,6.2,0,8.7,0,0.5,0,0.3,0,0.7

CM,1,2,L'instant,0,0.3,1.3,0,8.3,5.8,0,1.2,0,6.3,0,8.4

CM,1,3,Aromatics Elixir,5.8,10,0,0,0,4.3,2.2,0,0,0,6.4,6.4

CM,1,4,Shalimar,3.2,10,0,0,4,6.2,3.7,0,0,1.2,10,9.4

CM,1,5,Pure Poison,0,0.5,2.4,0.7,7.9,8.9,0,2.5,0,7.5,0,9

CM,1,6,Cinéma,0,1.3,6.7,0.7,6,6,0,1,0,10,0,9.4

CM,1,7,Lolita Lempicka,0,0.8,7.5,2.5,6.2,9,0,3.5,0.5,10,0,9.5

CM,1,8,J'adore EP,0,1,7.7,5.7,0.5,9.3,0,2.1,0,6.2,1.1,8.1

CM,1,9,Coco Mademoiselle,1,0.5,2.7,1,0.5,8.8,0.7,4.3,0,7.2,0,9

CM,1,10,J'adore ET,1.5,4,5.5,3.1,0.5,9.5,0,1.7,0.5,5.3,0.3,5.4

CM,1,11,Angel,5.8,10,0.7,0,8.7,1.7,0,0,0,5,7.7,9.2

CM,1,12,Chanel N5,4.5,9.2,1.2,1.7,0.5,6.4,0,0,0,0,10,9.6

CM,2,1,Chanel N5,1.2,8.7,0,0,1,6,0,0,0,0.5,9.5,8.8

CM,2,2,Angel,1.5,9.7,0,0,3.3,1.5,0.9,0,0,4,6.2,5.7

CM,2,3,J'adore ET,0,1.8,4.2,0.7,0,9,0,1.2,0.2,2.2,0,6.7

CM,2,4,Coco Mademoiselle,0,1.2,3.3,0.7,0.3,8.8,0,1.8,0.3,7.2,0,8.8

CM,2,5,J'adore EP,0,1,4.3,4.2,1,9,0,2,0,3,0,7.5

CM,2,6,Lolita Lempicka,0,1.2,6.2,0.4,0,7.2,0,1.3,0,9.5,0,9.2

CM,2,7,Cinéma,0.7,0,2.2,0.2,7.5,6.1,0,0,0,8.2,0,8.8

CM,2,8,Pure Poison,0,0.8,0.8,1.6,3.5,6.5,0,2,0,6.3,0,8.4

CM,2,9,Shalimar,4.3,8.7,0,0,1.7,4.4,1.5,0,0,0,10,4

CM,2,10,Aromatics Elixir,2,9.3,0,0,1.2,2.2,2,0,0,0,9.7,4.2

CM,2,11,L'instant,1.3,0.7,4.5,0.5,7,6.1,0,3.7,0,7.8,0,8.2

CM,2,12,Pleasures,0,0,6.3,8,0,8,0,1.5,0.5,1.2,0,6.5

SD,1,1,L'instant,0,5,2.1,0,1.2,8.4,0.1,0.8,0.2,6,0.1,5

SD,1,2,Shalimar,6.1,10,0.2,0.2,1.2,5,1,7.5,0.2,0.1,10,3.2

SD,1,3,Pleasures,0.2,0.2,5,5,0.2,9.8,0.3,0.5,0.3,0.2,0.2,0.2

SD,1,4,Cinéma,0.2,7.1,3.6,0.2,9,5.1,6.5,0.2,0.2,9.9,0.2,9.8

SD,1,5,Aromatics Elixir,8.6,9.8,0.2,0.3,0.2,3.5,3.5,3.4,0.3,0.2,9.8,9.9

SD,1,6,J'adore EP,0.2,0.2,7.5,5,0.3,9.8,1.1,0.2,0.3,5,0.2,0.2

SD,1,7,Pure Poison,0.2,0.2,1.5,8.3,0.2,9.8,1,0.9,0.2,0.1,0.1,0.2

SD,1,8,J'adore ET,0.2,0.1,0.2,6.5,0.1,0.6,0.2,0.2,0.1,0.2,0.1,0.1

SD,1,9,Lolita Lempicka,0.1,9.9,0.2,0.2,9.9,0.2,0.9,0.2,0.3,9.9,0.2,9.9

SD,1,10,Chanel N5,9.9,9.9,0.2,0.2,0.2,5.7,0.2,5.6,0.2,0.2,9.8,6

SD,1,11,Coco Mademoiselle,3,0.2,1.3,0.3,1.2,9.8,4.1,0.1,0.1,0.2,0.2,9.6

SD,1,12,Angel,0.1,9.9,0.2,0.2,9.9,0.2,0.2,0.1,0.2,9.8,2.3,9.8

SD,2,1,Angel,0,9.8,0,0,9.8,0,0,0,0,8.5,1.3,9.7

SD,2,2,Coco Mademoiselle,0,1,2.2,0,0,10,2.2,0,0,0,0,6.5

SD,2,3,Chanel N5,6,10,0,0,1,5,2.5,7.5,0,0,9.8,4.8

SD,2,4,Lolita Lempicka,0,8.7,0,0,9.7,4.8,0,0,0,10,0,10

SD,2,5,J'adore ET,0,2.5,8,5,0,10,1.5,0,0,0,0,5

SD,2,6,Pure Poison,0,0,1.2,0,3.2,9.5,0.5,0,0,1,0,7.5

SD,2,7,J'adore EP,0,0,3.2,7.3,0,9.2,0,0,0,0,0,5

SD,2,8,Aromatics Elixir,1.2,10,0,0,1,10,6.7,5,0,0,9.7,5

SD,2,9,Cinéma,0,5,5.7,0,9,6,0,0,0,3.2,0.2,8

SD,2,10,Pleasures,0,0,2.2,9.8,0,10,0,0,0,0,0,2.2

SD,2,11,Shalimar,2.5,5,0,2.5,0,10,0,5,0,0,9.5,9

SD,2,12,L'instant,0,0,1.3,0,6,10,0,0,0,4.2,0,10

MLD,1,1,Angel,1.2,9.9,0,0,9,0,0,0,0,10,0,0

MLD,1,2,Coco Mademoiselle,0,0,10,0,0,9.8,0,0,0.9,0,0,0

MLD,1,3,Chanel N5,0,10,0,0,0,1.2,0,0,0,0,0,7.3

MLD,1,4,Lolita Lempicka,1,0,0.6,0,8.2,2.7,0,0,0,6.7,2.7,8.2

MLD,1,5,J'adore ET,0,0,9.7,1.1,0,10,0,0.9,0.7,5,0,0.3

MLD,1,6,Pure Poison,0,0.7,0.8,0,0.5,9,0,0,0.5,3,0.2,9.4

MLD,1,7,J'adore EP,0,0,9.8,2.2,0,10,0,5.5,7.7,1.3,0,3

MLD,1,8,Aromatics Elixir,9,9.7,0,1,0,1,0,0,0,0,0,9.5

MLD,1,9,Cinéma,7.3,5.8,8.3,0.5,8.8,3.4,0,0,0,2,5,8

MLD,1,10,Pleasures,0,0,6.5,2,0,9.7,0,0.9,9.5,0,0,0

MLD,1,11,Shalimar,10,10,0,0,1.8,2,0,0,0,0,8.3,9.6

MLD,1,12,L'instant,2.1,0.6,4.1,0,6.9,8.2,0,0,1,1.7,8.4,9.8

MLD,2,1,L'instant,2,9,2.3,0,6.4,8.7,0,0,0,0.7,8.5,9.5

MLD,2,2,Shalimar,9.5,9.4,0,0.3,0,2.2,0.3,0,0,0.2,9.8,9.2

MLD,2,3,Pleasures,0,0,9.5,0.6,0.1,8.5,0,0.7,0.3,0,1.7,0.3

MLD,2,4,Cinéma,0.8,2,8.7,0.3,8.7,4.2,0,0.7,0,8.7,7,9

MLD,2,5,Aromatics Elixir,8.2,9.5,0,0.9,0,2,1,0.2,0,0,9.2,9.7

MLD,2,6,J'adore EP,0,0,9.8,0.5,2.2,9.8,1,5,0.2,1.4,0.2,0.3

MLD,2,7,Pure Poison,0.3,0.3,1.6,0.1,4.4,3.9,0.1,0.5,0,1.9,0,9.8

MLD,2,8,J'adore ET,0.5,0.2,9.7,0.5,1,9.6,1,5,0.5,1.8,0.2,2.4

MLD,2,9,Lolita Lempicka,0.7,7.2,0.7,0.1,9.8,0.5,0,0,0,9.5,1.3,9.9

MLD,2,10,Chanel N5,0.3,9.9,0,1.5,0.1,9.4,0.2,0.2,0.2,0,2,9.5

MLD,2,11,Coco Mademoiselle,0.3,0.3,9.9,0.8,0,9.9,0,0.7,0.2,1.3,1,0.6

MLD,2,12,Angel,9.5,9.7,0.3,0,9.4,0.2,1,0,0,9.7,8.5,10

GV,1,1,Chanel N5,0.8,3.1,0,0,0,9.8,2.5,0,0,0.4,0.7,5.5

GV,1,2,Angel,0.6,8.3,3.1,0,7.7,0.3,1.3,0.4,0.1,9.8,4.4,5.4

GV,1,3,J'adore ET,0.3,0.3,9.6,0.2,0.5,9.9,0.2,5.1,0,3.5,0.3,0.5

GV,1,4,Coco Mademoiselle,0.2,1.1,6.1,0,0.2,7.7,0.2,0.5,0,2.8,6.5,4

GV,1,5,J'adore EP,0.1,0.2,4.6,0,0.1,8.8,0.2,6.4,0,0.8,0.7,3.9

GV,1,6,Lolita Lempicka,0,1,8.2,0,10,5.2,0,0.2,0,10,1,1.3

GV,1,7,Cinéma,0.2,0.1,6,0,0.1,9,0.3,2.5,0,5.3,5.3,4.3

GV,1,8,Pure Poison,6.4,5.3,4.6,0,0.3,7.6,0.2,0,0,0.8,6.8,6.3

GV,1,9,Shalimar,5.3,10,0,0,0,9.7,4.9,0.3,0,0,0.2,6.2

GV,1,10,Aromatics Elixir,8.8,9.6,0,0,0,8.4,5.4,0,0,0,5,5.1

GV,1,11,L'instant,0,0,6.7,0.1,0,9,0,5.1,0.1,0.2,0.2,0.3

GV,1,12,Pleasures,0,0,0.2,0.5,0.1,10,0,4.5,5.1,0.3,0.1,0.3

GV,2,1,Pleasures,0.2,0.3,1.7,0,0.5,9.3,0,1,0.1,3.8,5,2.6

GV,2,2,L'instant,0.2,0.7,3.1,0,0.5,9.8,0.3,0.7,0,3.7,5,2.3

GV,2,3,Aromatics Elixir,9.1,9.5,0.8,0,0.2,9.8,3.3,1.9,0.3,0.2,5.2,5.8

GV,2,4,Shalimar,4.5,5.3,1.3,0,4,9.8,2,1,0.5,0,5.2,5.3

GV,2,5,Pure Poison,5.2,5.7,5.1,0,5,8.2,5.1,1,0,0.5,9.7,6.2

GV,2,6,Cinéma,0,1.2,9.8,0,0.2,7.7,0,5.2,0,8.7,5.8,4.3

GV,2,7,Lolita Lempicka,0.2,5,6,0,10,0.5,0.2,2.7,0,10,5.8,8.8

GV,2,8,J'adore EP,0,0.2,6.3,0,0.3,8.8,0.2,7.2,0,3.2,5.5,4

GV,2,9,Coco Mademoiselle,0.2,0.2,8.2,0.1,0,9.6,0.3,4,0,8.5,9,7.7

GV,2,10,J'adore ET,0.2,0.3,0.2,0,0,9.8,0.8,2.2,2,5.1,5.7,5.2

GV,2,11,Angel,9.8,9.8,0,0,0.2,9.8,5.3,5,0,0,5,4.3

GV,2,12,Chanel N5,6.2,9,1,0.4,0.3,10,0.2,1.3,2,0.2,4.8,7.7

NMA,1,1,J'adore ET,0,5.5,0,2.8,0.6,9,5,0,0,0,4.3,8.3

NMA,1,2,Chanel N5,5.2,8.3,0,0,0.6,5.2,0.5,0,0,0.9,7.6,8

NMA,1,3,J'adore EP,0.5,7,6.8,1.3,0,10,5,0,7.4,0,7.5,7.5

NMA,1,4,Angel,7.2,7,5.9,0,6.5,5.5,5.4,0,0,1.1,9,9

NMA,1,5,Cinéma,0.8,1.9,5.6,0,1.4,8.8,3.9,0,7.1,0.5,0,5.8

NMA,1,6,Coco Mademoiselle,3.1,0.7,5,5,0.8,10,6.6,0,9,5.8,0,1.7

NMA,1,7,Shalimar,8.2,8.1,0,0,6,3.8,0,0,0.8,3.1,10,9.1

NMA,1,8,Lolita Lempicka,9,8.8,0,5.5,10,0,4.2,0,0,10,10,10

NMA,1,9,L'instant,0,5,7.1,3.5,5.4,10,5.5,0,9.3,0.6,0,5.7

NMA,1,10,Pure Poison,4.1,0.4,9,0,0.2,9.2,5.5,0,7.4,0,0,2

NMA,1,11,Pleasures,6.6,6.5,6.3,4,0,9,0,0,1.2,1.8,9,9

NMA,1,12,Aromatics Elixir,8.2,8.1,0,0,0.4,9.3,5,0.4,0.4,0.1,5.5,10

NMA,2,1,Aromatics Elixir,0.5,7.8,0,3.6,0,9.2,1,0,0,0,7.9,7.3

NMA,2,2,Pleasures,0,7.7,2,3.6,0.4,9.9,5.7,0,0,0.2,7,6.9

NMA,2,3,Pure Poison,9.1,8.1,0.9,0.1,6.1,7.8,1.1,0,0,0.7,8.1,7.2

NMA,2,4,L'instant,5.8,6.7,9.4,0,8,9.4,2,0,0,8,8,8.1

NMA,2,5,Lolita Lempicka,8.8,8.7,5.3,0.3,9.6,0,2.1,0,0.1,10,9.3,9.6

NMA,2,6,Shalimar,9.3,9.1,0.4,0.3,8.2,7.9,3.6,0,0,8.2,9.8,9.8

NMA,2,7,Coco Mademoiselle,6,7.7,10,0.2,6,9.3,0,0,0,9.3,8.2,9.2

NMA,2,8,Cinéma,9.7,8.8,0.8,0,9.7,7.9,2.9,0,0,6.3,9.8,9.7

NMA,2,9,Angel,8.9,8.7,1.1,0,6.7,5.3,3.2,0,0.2,7.3,10,9.6

NMA,2,10,J'adore EP,0,7.7,0.9,0.2,0.7,10,4.2,0,0,0.3,0.4,7.8

NMA,2,11,Chanel N5,8.9,8.7,0,0,7.8,7.4,0,0,0.2,6.6,10,9.8

NMA,2,12,J'adore ET,0.7,6.4,1.1,0.2,2.8,10,6.2,0,0.1,5.6,8.2,8.2

SQ,1,1,J'adore EP,0,0.5,5,1.2,0.1,3.9,0,1,0.2,0.4,0,0.2

SQ,1,2,J'adore ET,0,0.4,5.4,0.2,1.1,4.4,0.2,3.3,0,1,0,0.3

SQ,1,3,Cinéma,1.9,0.3,1,0,3.2,0.6,0.1,0.1,2,0,1,0.5

SQ,1,4,Chanel N5,6.7,9,0.8,0.6,3.8,1.5,2.5,0.4,0,1.1,5.6,2.4

SQ,1,5,Shalimar,8.1,3.5,1.8,0,2.9,0.4,5,0.3,0,0.7,5,0.4

SQ,1,6,Angel,5,6.5,3.4,0.4,5,4.2,1.5,0.3,0,7.2,1.1,3.2

SQ,1,7,L'instant,0.6,0,3.5,0,0.5,6.8,1,0.3,0,4.6,0.3,4.1

SQ,1,8,Coco Mademoiselle,1.9,0.3,4.5,0,1.2,3.1,0.2,4.4,0,3.7,0,1.9

SQ,1,9,Pleasures,0,0,3.9,1.1,0.2,5.1,0.2,2.1,0.6,1.6,0,2.8

SQ,1,10,Lolita Lempicka,3.1,0.6,5.8,0,2.5,6.9,0.7,0.3,0.6,5.5,1.8,6.1

SQ,1,11,Aromatics Elixir,8,7,0.6,0.2,1.5,2.1,4.4,0.1,0,0.6,5.4,4.1

SQ,1,12,Pure Poison,0.2,0,1.5,0.2,4.1,7.2,0.7,0.4,0,4.8,0.2,5.7

SQ,2,1,Pure Poison,1,0,1.4,0,1.5,7,2.6,0.3,1.8,0.2,0,3.5

SQ,2,2,Aromatics Elixir,6.8,4.9,0.3,0.2,2.3,3.4,3,1.5,0.7,0,4.3,1.8

SQ,2,3,Lolita Lempicka,1.2,0.7,6,0.3,5.5,4.5,1.7,0.2,0,5.5,0.2,4.5

SQ,2,4,Pleasures,1,0,2.8,1.5,0.2,6.5,1.3,0.7,0.2,1.5,0,4.8

SQ,2,5,Coco Mademoiselle,2.4,1.3,3.5,0.3,0.7,5.3,0.3,0.3,1.3,2.5,0,3.3

SQ,2,6,L'instant,1.5,0.7,3.3,0.5,5,4.2,3,0.7,0.5,2.4,0,3.3

SQ,2,7,Angel,3,1.4,5.5,0.5,3.3,6,1.5,0.8,1.2,4.3,0.7,3.7

SQ,2,8,Shalimar,3.5,0.8,2.2,0.2,4.8,1.5,4,4.8,0.8,2.5,3.6,3

SQ,2,9,Chanel N5,3.5,4.9,1.5,1.3,0.8,6.2,3.2,2.3,0.2,1,5.7,2.3

SQ,2,10,Cinéma,1.8,0.8,6,0.3,4.3,4.8,2.3,3,1.2,2.7,0.2,4.2

SQ,2,11,J'adore ET,0.7,1.5,5.5,1.3,1,4.8,0.3,2.5,1,3.2,0.3,5

SQ,2,12,J'adore EP,3.7,2.8,5.4,0.1,2.4,2,0.8,3.3,0.7,4.2,1,5.6

RL,1,1,Cinéma,0,0,8,0,7,1,0,0,0,0,10,5

RL,1,2,J'adore EP,0,0,5,0,0,10,2,0,0,0,0,0

RL,1,3,Shalimar,9,10,1,3,0,0,2.5,0,0,0,5,7.7

RL,1,4,J'adore ET,0,0,5,0,0,10,0.9,1.1,0,0,0,0

RL,1,5,L'instant,0,0,1.6,0,10,1,0,0,0,4.5,5.7,5.5

RL,1,6,Chanel N5,0.8,10,0,0,1.8,0.1,0.7,0,0,0,10,8.4

RL,1,7,Pleasures,0,0,0.4,4.8,0.1,10,0.6,5.4,0,0,0,0

RL,1,8,Angel,5,7.3,0,0,8.3,0.1,1.8,0,0,10,10,10

RL,1,9,Aromatics Elixir,9.8,5,0,0,7.5,0.1,1.3,0.1,0,0,10,9.2

RL,1,10,Coco Mademoiselle,0,0,5.8,0,10,0.5,0,0.1,0,5,10,7.4

RL,1,11,Pure Poison,5,2.6,0.2,0,1.2,5.5,0.3,0,0,0.3,10,5

RL,1,12,Lolita Lempicka,0,5,0,0,10,0.4,0.4,0,0.1,8.7,9.6,9.6

RL,2,1,Lolita Lempicka,0,5,0.3,0,10,0.3,1,0,0,9.9,10,10

RL,2,2,Pure Poison,0.4,0,10,0,1.2,1.1,1.1,0,0.1,0,0.8,0.9

RL,2,3,Coco Mademoiselle,0.3,0,4.9,0.1,9.7,9.9,1.1,2.4,0,5.1,8.5,8.6

RL,2,4,Aromatics Elixir,8,9.9,0,0.5,9,0.5,1.4,0,0,0.1,10,10

RL,2,5,Angel,10,5,0.6,0,10,0.6,1.5,0.1,0.1,10,10,9.9

